Seq, fpogx, fpogy, fpogd, s
19,0.08281,0.43239,0,2
19,0.03465,0.31075,0,1
19,0.09704,0.62348,2,3
19,0.10024,0.62596,1,4
19,0.21058,0.59987,2,3
19,0.08283,0.69318,2,4
19,0.10222,0.56347,2,3
19,0.79664,0.90629,1,5
19,0.74731,0.88504,0,6
19,0.14244,0.5379,1,3
19,0.14234,0.51267,0,3
20,0.12276,0.47735,1,2
20,0.13196,0.28147,1,6
20,0.145,0.28821,1,1
20,0.24984,0.24848,1,6
20,0.30898,0.27246,0,6
20,0.26082,0.30773,0,1
20,0.07718,0.50084,1,2
20,0.07498,0.51892,1,3
20,0.07911,0.48462,1,2
20,0.07839,0.59276,1,3
20,0.08675,0.74216,2,6
20,0.08403,0.74023,2,4
20,0.08005,0.74169,2,6
20,0.08392,0.68246,2,4
20,0.19352,0.2898,1,1
20,0.24454,0.27658,1,6
20,0.27561,0.30922,0,1
20,0.84143,0.89358,2,5
20,0.14558,0.28128,0,6
20,0.14058,0.32096,2,1
21,0.23339,0.40906,2,2
21,0.24189,0.39099,0,1
21,0.24176,0.39245,0,6
21,0.26456,0.39022,1,1
21,0.11669,0.4229,2,2
21,0.13006,0.37473,1,1
21,0.28158,0.39589,2,2
21,0.27553,0.38685,1,1
21,0.09949,0.50004,1,2
21,0.16268,0.51301,2,3
21,0.19711,0.50299,0,2
21,0.23915,0.51228,1,3
21,0.30661,0.49191,2,2
21,0.18393,0.59481,2,3
21,0.14469,0.67057,2,4
21,0.12359,0.59602,0,3
21,0.2566,0.41918,2,2
21,0.29081,0.40283,0,2
21,0.25122,0.37752,0,1
21,0.14216,0.27338,1,6
21,0.82492,0.89539,1,5
21,0.14397,0.52043,0,3
21,0.09099,0.41139,1,2
21,0.09445,0.23981,0,0
22,0.19944,0.25555,2,6
22,0.2178,0.24063,1,0
22,0.2564,0.2714,0,6
22,0.17342,0.34596,0,1
22,0.12058,0.45237,2,2
22,0.12776,0.56107,2,3
22,0.13358,0.5071,0,2
22,0.11117,0.60652,1,3
22,0.11158,0.70937,2,4
22,0.07598,0.62077,0,3
22,0.08321,0.62648,0,4
22,0.09096,0.60963,1,3
22,0.09895,0.39683,0,2
22,0.10966,0.39046,0,1
22,0.13074,0.4022,2,2
22,0.08516,0.6324,1,4
22,0.84303,0.88748,1,5
22,0.10843,0.74799,0,6
22,0.09593,0.74174,0,6
22,0.08242,0.63216,2,4
22,0.0804,0.53783,0,3
22,0.10565,0.43827,1,2
22,0.12183,0.29143,1,1
22,0.1182,0.27943,0,6
22,0.1078,0.21994,1,0
23,0.13248,0.27953,2,6
23,0.14009,0.33681,1,1
23,0.10398,0.44377,2,2
23,0.10626,0.38727,1,1
23,0.16842,0.48283,2,2
23,0.12505,0.60235,1,3
23,0.1984,0.62742,0,4
23,0.19581,0.61777,0,3
23,0.08485,0.67986,1,4
23,0.12091,0.54838,2,3
23,0.14376,0.39731,2,2
23,0.09065,0.38025,0,1
23,0.10067,0.40119,1,2
23,0.13049,0.29586,1,1
23,0.13324,0.28184,2,6
23,0.09034,0.46376,2,2
23,0.15163,0.51113,2,3
23,0.21282,0.50462,2,2
23,0.0911,0.63207,1,4
23,0.10342,0.61638,1,3
23,0.15158,0.62938,0,4
23,0.19457,0.61764,2,3
23,0.09579,0.71905,2,4
23,0.77664,0.89405,0,6
23,0.80704,0.86932,1,5
23,0.13055,0.38945,1,1
23,0.13281,0.39288,0,2
23,0.12364,0.37374,1,1
23,0.21148,0.2518,2,6
24,0.20271,0.19731,1,0
24,0.16951,0.26883,0,6
24,0.15508,0.31665,0,1
24,0.11944,0.49623,2,2
24,0.07536,0.61723,2,3
24,0.13515,0.62972,2,4
24,0.10824,0.58989,0,3
24,0.09831,0.63021,0,4
24,0.10698,0.62631,0,4
24,0.14694,0.60519,2,3
24,0.09981,0.70339,2,4
24,0.1336,0.53604,2,3
24,0.14372,0.51269,2,3
24,0.14255,0.50147,2,2
24,0.23101,0.29031,0,1
24,0.22968,0.28387,0,6
24,0.22411,0.28668,1,1
24,0.26507,0.25316,2,6
24,0.2573,0.22975,1,0
24,0.23754,0.26995,0,6
24,0.11039,0.44281,1,2
24,0.15054,0.38453,1,1
24,0.15159,0.39776,0,2
24,0.14547,0.39008,0,1
24,0.10832,0.40524,2,2
24,0.11166,0.37883,0,1
24,0.10461,0.43586,1,2
24,0.1098,0.5327,2,3
24,0.1117,0.46392,0,2
24,0.14731,0.35173,1,1
24,0.80316,0.89203,1,5
24,0.07526,0.65623,1,4
24,0.10533,0.25351,0,6
25,0.11186,0.24352,1,0
25,0.19033,0.25195,1,6
25,0.21515,0.23945,1,0
25,0.27211,0.24961,1,6
